University Name,URL
Maharahtra University of Health Sciences,http://www.muhsnashik.com
Maharashtra Animal & Fishery Sciences University,http://www.mafsu.in
Mahatma Phule Krishi Vidyapeeth,http://www.mpkv.mah.nic.in
Marathwada Agricultural University,http://www.mkv2.mah.nic.in
North Maharashtra University,http://www.nmu.ac.in
Sant Gadge Baba Amravati University,http://www.sgbau.ac.in
Smt. Nathibai Damodar Thackersey Women's University,http://www.sndt.ac.in
Solapur University,http://su.digitaluniversity.ac
Swami Ramanand Teerth Marathwada University,http://www.srtmun.org
The Rashtrasant Tukadoji Maharaj Nagpur University,http://www.nagpuruniversity.org
Yashwant Rao Chavan Maharashtra Open University,http://www.ycmou.com
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,http://hindivishwa.org
Central Agricultural University,http://www.cau.org.in
Manipur University,http://www.manipuruniv.ac.in
North Eastern Hill University,http://www.nehu.ac.in
Mizoram University,http://www.mzu.edu.in
Berhampur University,http://www.bamu.nic.in
Biju Patnaik University of Technology,http://www.bput.ac.in
Fakir Mohan University,http://www.fmuniversity.nic.in
National Law University,http://www.nluo.ac.in
North Orissa University,http://www.nou.nic.in
Ravenshaw University,http://ravenshawuniversity.ac.in
Sambalpur University,http://www.sambalpuruniversitypgc.in
Shri Jagannath Sanskrit Vishwavidyalaya,http://www.sjsv.nic.in
Utkal University,http://www.utkaluniversity.org
Veer Surendra Sai University of Technology,http://www.vssut.ac.in
Central University of Orissa,http://www.cuo.ac.in
Baba Farid University of Health & Medical Sciences,http://www.bfuhs.ac.in
Guru Angad Dev Veterinary & Animal Sciences University,http://www.gadvasu.in
Guru Nanak Dev University,http://www.gndu.ac.in
Guru Ravidas Ayurved University,http://graupunjab.org
Punjab Agriculture University,http://www.pau.edu
Punjab Technical University,http://www.ptu.ac.in
Punjabi University,http://www.punjabiuniversity.ac.in
Central University of Punjab,http://www.centralunipunjab.com
Dr. Bhimrao Ambedkar Law University,http://babasaheb.org.in/
Haridev Joshi University of Journalism and Mass Communication,http://www.hjuj.ac.in
Jagadguru Ramanandacharya Sanskrit University,http://www.jrrsanskrituniversity.ac.in
Jai Naraim Vyas University,http://www.jnvu.org
Maharaja Ganga Singh University,http://mgsubikaner.ac.in
Maharana Pratap University of Agriculture & Technology,http://www.mpuat.ac.in
Maharishi Dayanand Saraswati University,http://www.mdsuajmer.com
National Law Universituy,http://www.nlujodhpur.ac.in
Rajasthan Agriculture & Technology,http://www.raubikaner.org
Rajasthan Ayurveda University,http://www.raujodhpur.org
Rajasthan Technical University,http://www.rtu.ac.in
Rajasthan University,http://www.uniraj.ernet.in
Rajasthan University of Health Sciences,http://www.ruhsraj.org
Rajasthan University of Veterinary & Animal Sciences,http://rajuvas.org
"Sardar Patel University of Police, Security & Criminal Justice",http://www.policeuniversity.ac.in
Shekhawati University,http://www.shekhawatiuniversity.com
University of Kota,http://www.uok.ac.in/
Vardhman Mahaveer Open University,http://www.vmou.ac.in
Central University of Rajasthan ,http://www.curaj.ac.in
Alagappa University,http://www.alagappauniversity.ac.in
Annamalai University,http://www.annamalaiuniversity.ac.in
Madurai Kamraj University,http://www.mkuniversity.org
Manonmaniam Sundarnar University,http://www.tnuniv.ac.in
Mother Teresa Women's University,http://www.motherteresawomenuniv.ac.in
Periyar University,http://periyaruniversity.ac.in
Tamil Nadu Fisheries University,http://www.tnfu.org.in
Tamil Nadu Music and Fine Arts University,http://www.tnmfau.in
Tamil Nadu Open University,http://www.tnou.ac.in
Tamil Nadu Teacher Education University,http://www.tnteu.in/
Tamil University,http://www.tamiluniversity.ac.in
Tamilnadu Agricultural University,http://www.tnau.ac.in
Tamilnadu Dr. M.G.R.Medical University,http://www.tnmmu.ac.in
Tamilnadu National Law School,http://www.tnnls.in
Tamilnadu Physical Educaton and Sports University,http://www.tnpesu.org
Thiruvalluvar University,http://www.thiruvalluvaruniversity.ac.in
Tripura University,http://www.tripurauniv.in
Chandr Shekhar Azad University of Agriculture & Technology,http://www.csauk.ac.in
Chatrapati Sahuji Maharaj Kanpur University,http://www.kanpuruniversity.org
Choudary Charan Singh University,http://www.ccsuniversity.ac.in
Deen Dayal Upadhyay Gorakhpur University,http://www.ddugu.edu.in
Dr. B.R. Ambedkar University,http://www.brauagra.ac.in
Dr. Ram Manohar Lohia Awadh University,http://www.rmlau.ac.in
Dr. Ram Manohar Lohiya National Law University,http://www.rmlau.ac.in
Dr. Shakuntala Misra National Rehabilitation University,http://www.dsmru.up.nic.in
Gautam Buddha University,http://www.gbu.ac.in
King Georges Medical University,http://www.kgmcindia.edu
Lucknow University,http://www.lkouniv.ac.in
M.J.P. Rohilkhand University,http://www.mjpru.ac.in
Madan Mohan Malaviya University of Technology,http://www.mmmut.ac.in
Mahamaya Technical University,http://www.mtunoida.com
Mahatam Gandhi Kashi Vidyapeeth,http://www.mgkvp.ac.in
Sardar Vallabh Bhai Patel University of Agriculture & Technology,http://www.svbpmeerut.ac.in
U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan,http://www.upvetuniv.edu.in
U.P. Rajarshi Tandon Open University,http://www.uprtou.ac.in
"U.P. Urdu, Arabi-Farsi University",http://uafulucknow.ac.in
U.P.King George's University of Dental Sciences,http://www.kgmcindia.edu/
Uttar Pradesh Technical University,http://www.uptu.ac.in
Veer Bahadur Singh Purvanchal University,http://www.vbspu.ac.in
Babasaheb Bhimrao Ambedkar University,http://www.bbau.ac.in
Banaras Hindu University,http://www.bhu.ac.in
University of Allahabad,http://www.alldunivpio.org
G.B.Pant University of Agriculture & Technology,http://www.gbpuat.ac.in
Hemwati Nandan Bahuguna Medical Education University,http://www.hnbumu.ac.in/
Sri Dev Suman Uttarakhand Vishwavidyalaya,http://sdsuv.ac.in/
Uttarakhand Ayurved University,http://www.uau.ac.in
Uttarakhand Open University,http://www.uou.ac.in/
Uttarakhand Technical University,http://www.uktech.ac.in
Uttarakhand University of Horticulture & Forestry,http://www.uuhf.ac.in/
Uttaranchal Sanskrit University,http://www.usvv.org
Hemwati Nandan Bahuguna Garhwal University,http://www.hnbgu.ac.in
Bankura University,http://www.bankurauniv.ac.in/
Bidhan Chandra Krishi Vishwavidyalaya,http://www.bckv.edu.in
Burdwan University,http://www.buruniv.ac.in
Calcutta University,http://www.caluniv.ac.in
Cooch Behar Panchanan Barma University,http://cbpbu.ac.in/
Kalyani University,http://www.klyuniv.ac.in
Kazi Nazrul University,http://www.knuedu.in
North Benagal University,http://www.nbu.ac.in
Presidency University,http://www.presiuniv.ac.in
Rabindra Bharati University,http://www.rbu.ac.in
Sidho-Kanho-Birsha University,http://www.skbu.ac.in
The Bengal Engineering & Science University,http://www.becs.ac.in
The West Bengal National University of Juridical Science,http://www.nujs.edu
